date,HFC,HFC_EPS,PE Ratio
1983-01-12,0.14,0.04,3.5000000000000004
1983-01-13,0.14,0.04,3.5000000000000004
1983-01-14,0.14,0.04,3.5000000000000004
1983-01-17,0.14,0.04,3.5000000000000004
1983-01-18,0.14,0.04,3.5000000000000004
1983-01-19,0.14,0.04,3.5000000000000004
1983-01-20,0.14,0.04,3.5000000000000004
1983-01-21,0.14,0.04,3.5000000000000004
1983-01-24,0.13,0.04,3.25
1983-01-25,0.13,0.04,3.25
1983-01-26,0.14,0.04,3.5000000000000004
1983-01-27,0.14,0.04,3.5000000000000004
1983-01-28,0.14,0.04,3.5000000000000004
1983-01-31,0.13,0.04,3.25
1983-02-01,0.13,0.04,3.25
1983-02-02,0.12,0.04,3.0
1983-02-03,0.12,0.04,3.0
1983-02-04,0.12,0.04,3.0
1983-02-07,0.12,0.04,3.0
1983-02-08,0.12,0.04,3.0
1983-02-09,0.13,0.04,3.25
1983-02-10,0.13,0.04,3.25
1983-02-11,0.13,0.04,3.25
1983-02-14,0.14,0.04,3.5000000000000004
1983-02-15,0.14,0.04,3.5000000000000004
1983-02-16,0.15,0.04,3.75
1983-02-17,0.14,0.04,3.5000000000000004
1983-02-18,0.15,0.04,3.75
1983-02-22,0.13,0.04,3.25
1983-02-23,0.13,0.04,3.25
1983-02-24,0.14,0.04,3.5000000000000004
1983-02-25,0.14,0.04,3.5000000000000004
1983-02-28,0.14,0.04,3.5000000000000004
1983-03-01,0.15,0.04,3.75
1983-03-02,0.15,0.04,3.75
1983-03-03,0.14,0.04,3.5000000000000004
1983-03-04,0.15,0.04,3.75
1983-03-07,0.15,0.04,3.75
1983-03-08,0.15,0.04,3.75
1983-03-09,0.15,0.04,3.75
1983-03-10,0.15,0.04,3.75
1983-03-11,0.15,0.04,3.75
1983-03-14,0.15,0.04,3.75
1983-03-15,0.15,0.04,3.75
1983-03-16,0.15,0.04,3.75
1983-03-17,0.15,0.04,3.75
1983-03-18,0.14,0.04,3.5000000000000004
1983-03-21,0.14,0.04,3.5000000000000004
1983-03-22,0.15,0.04,3.75
1983-03-23,0.17,0.04,4.25
1983-03-24,0.17,0.04,4.25
1983-03-25,0.17,0.04,4.25
1983-03-28,0.16,0.04,4.0
1983-03-29,0.15,0.04,3.75
1983-03-30,0.15,0.04,3.75
1983-03-31,0.15,0.04,3.75
1983-04-04,0.15,0.04,3.75
1983-04-05,0.15,0.04,3.75
1983-04-06,0.15,0.04,3.75
1983-04-07,0.15,0.04,3.75
1983-04-08,0.16,0.04,4.0
1983-04-11,0.17,0.04,4.25
1983-04-12,0.16,0.04,4.0
1983-04-13,0.16,0.04,4.0
1983-04-14,0.16,0.04,4.0
1983-04-15,0.16,0.04,4.0
1983-04-18,0.16,0.04,4.0
1983-04-19,0.16,0.04,4.0
1983-04-20,0.16,0.04,4.0
1983-04-21,0.15,0.04,3.75
1983-04-22,0.17,0.04,4.25
1983-04-25,0.16,0.04,4.0
1983-04-26,0.16,0.04,4.0
1983-04-27,0.16,0.04,4.0
1983-04-28,0.17,0.04,4.25
1983-04-29,0.17,0.04,4.25
1983-05-02,0.16,0.04,4.0
1983-05-03,0.16,0.04,4.0
1983-05-04,0.16,0.04,4.0
1983-05-05,0.16,0.04,4.0
1983-05-06,0.16,0.04,4.0
1983-05-09,0.17,0.04,4.25
1983-05-10,0.16,0.04,4.0
1983-05-11,0.17,0.04,4.25
1983-05-12,0.17,0.04,4.25
1983-05-13,0.18,0.04,4.5
1983-05-16,0.16,0.04,4.0
1983-05-17,0.18,0.04,4.5
1983-05-18,0.18,0.04,4.5
1983-05-19,0.18,0.04,4.5
1983-05-20,0.18,0.04,4.5
1983-05-23,0.18,0.04,4.5
1983-05-24,0.2,0.04,5.0
1983-05-25,0.2,0.04,5.0
1983-05-26,0.2,0.04,5.0
1983-05-27,0.2,0.04,5.0
1983-05-31,0.2,0.04,5.0
1983-06-01,0.2,0.04,5.0
1983-06-02,0.19,0.04,4.75
1983-06-03,0.19,0.04,4.75
1983-06-06,0.19,0.04,4.75
1983-06-07,0.18,0.04,4.5
1983-06-08,0.18,0.04,4.5
1983-06-09,0.2,0.04,5.0
1983-06-10,0.2,0.04,5.0
1983-06-13,0.19,0.04,4.75
1983-06-14,0.18,0.04,4.5
1983-06-15,0.19,0.04,4.75
1983-06-16,0.19,0.04,4.75
1983-06-17,0.2,0.04,5.0
1983-06-20,0.2,0.04,5.0
1983-06-21,0.2,0.04,5.0
1983-06-22,0.21,0.04,5.25
1983-06-23,0.21,0.04,5.25
1983-06-24,0.21,0.04,5.25
1983-06-27,0.21,0.04,5.25
1983-06-28,0.2,0.04,5.0
1983-06-29,0.2,0.04,5.0
1983-06-30,0.2,0.04,5.0
1983-07-01,0.2,0.04,5.0
1983-07-05,0.2,0.04,5.0
1983-07-06,0.2,0.04,5.0
1983-07-07,0.21,0.04,5.25
1983-07-08,0.21,0.04,5.25
1983-07-11,0.21,0.04,5.25
1983-07-12,0.2,0.04,5.0
1983-07-13,0.19,0.04,4.75
1983-07-14,0.19,0.04,4.75
1983-07-15,0.19,0.04,4.75
1983-07-18,0.19,0.04,4.75
1983-07-19,0.2,0.04,5.0
1983-07-20,0.2,0.04,5.0
1983-07-21,0.19,0.04,4.75
1983-07-22,0.2,0.04,5.0
1983-07-25,0.2,0.04,5.0
1983-07-26,0.2,0.04,5.0
1983-07-27,0.19,0.04,4.75
1983-07-28,0.18,0.04,4.5
1983-07-29,0.19,0.04,4.75
1983-08-01,0.19,0.04,4.75
1983-08-02,0.18,0.04,4.5
1983-08-03,0.18,0.04,4.5
1983-08-04,0.19,0.04,4.75
1983-08-05,0.19,0.04,4.75
1983-08-08,0.19,0.04,4.75
1983-08-09,0.19,0.04,4.75
1983-08-10,0.2,0.04,5.0
1983-08-11,0.2,0.04,5.0
1983-08-12,0.21,0.04,5.25
1983-08-15,0.21,0.04,5.25
1983-08-16,0.21,0.04,5.25
1983-08-17,0.21,0.04,5.25
1983-08-18,0.2,0.04,5.0
1983-08-19,0.2,0.04,5.0
1983-08-22,0.21,0.04,5.25
1983-08-23,0.2,0.04,5.0
1983-08-24,0.2,0.04,5.0
1983-08-25,0.2,0.04,5.0
1983-08-26,0.2,0.04,5.0
1983-08-29,0.2,0.04,5.0
1983-08-30,0.2,0.04,5.0
1983-08-31,0.2,0.04,5.0
1983-09-01,0.2,0.04,5.0
1983-09-02,0.2,0.04,5.0
1983-09-06,0.19,0.04,4.75
1983-09-07,0.19,0.04,4.75
1983-09-08,0.19,0.04,4.75
1983-09-09,0.19,0.04,4.75
1983-09-12,0.18,0.04,4.5
1983-09-13,0.18,0.04,4.5
1983-09-14,0.17,0.04,4.25
1983-09-15,0.17,0.04,4.25
1983-09-16,0.18,0.04,4.5
1983-09-19,0.18,0.04,4.5
1983-09-20,0.17,0.04,4.25
1983-09-21,0.17,0.04,4.25
1983-09-22,0.17,0.04,4.25
1983-09-23,0.16,0.04,4.0
1983-09-26,0.16,0.04,4.0
1983-09-27,0.16,0.04,4.0
1983-09-28,0.15,0.04,3.75
1983-09-29,0.15,0.04,3.75
1983-09-30,0.15,0.04,3.75
1983-10-03,0.16,0.04,4.0
1983-10-04,0.16,0.04,4.0
1983-10-05,0.16,0.04,4.0
1983-10-06,0.16,0.04,4.0
1983-10-07,0.17,0.04,4.25
1983-10-10,0.18,0.04,4.5
1983-10-11,0.16,0.04,4.0
1983-10-12,0.15,0.04,3.75
1983-10-13,0.16,0.04,4.0
1983-10-14,0.17,0.04,4.25
1983-10-17,0.17,0.04,4.25
1983-10-18,0.16,0.04,4.0
1983-10-19,0.15,0.04,3.75
1983-10-20,0.15,0.04,3.75
1983-10-21,0.14,0.04,3.5000000000000004
1983-10-24,0.14,0.04,3.5000000000000004
1983-10-25,0.15,0.04,3.75
1983-10-26,0.15,0.04,3.75
1983-10-27,0.14,0.04,3.5000000000000004
1983-10-28,0.14,0.04,3.5000000000000004
1983-10-31,0.14,0.04,3.5000000000000004
1983-11-01,0.13,0.04,3.25
1983-11-02,0.14,0.04,3.5000000000000004
1983-11-03,0.14,0.04,3.5000000000000004
1983-11-04,0.14,0.04,3.5000000000000004
1983-11-07,0.14,0.04,3.5000000000000004
1983-11-08,0.14,0.04,3.5000000000000004
1983-11-09,0.14,0.04,3.5000000000000004
1983-11-10,0.14,0.04,3.5000000000000004
1983-11-11,0.14,0.04,3.5000000000000004
1983-11-14,0.14,0.04,3.5000000000000004
1983-11-15,0.14,0.04,3.5000000000000004
1983-11-16,0.15,0.04,3.75
1983-11-17,0.15,0.04,3.75
1983-11-18,0.14,0.04,3.5000000000000004
1983-11-21,0.15,0.04,3.75
1983-11-22,0.16,0.04,4.0
1983-11-23,0.17,0.04,4.25
1983-11-25,0.19,0.04,4.75
1983-11-28,0.18,0.04,4.5
1983-11-29,0.19,0.04,4.75
1983-11-30,0.19,0.04,4.75
1983-12-01,0.18,0.04,4.5
1983-12-02,0.17,0.04,4.25
1983-12-05,0.19,0.04,4.75
1983-12-06,0.19,0.04,4.75
1983-12-07,0.19,0.04,4.75
1983-12-08,0.19,0.04,4.75
1983-12-09,0.19,0.04,4.75
1983-12-12,0.19,0.04,4.75
1983-12-13,0.19,0.04,4.75
1983-12-14,0.18,0.04,4.5
1983-12-15,0.19,0.04,4.75
1983-12-16,0.19,0.04,4.75
1983-12-19,0.18,0.04,4.5
1983-12-20,0.17,0.04,4.25
1983-12-21,0.17,0.04,4.25
1983-12-22,0.17,0.04,4.25
1983-12-23,0.17,0.04,4.25
1983-12-27,0.17,0.04,4.25
1983-12-28,0.16,0.04,4.0
1983-12-29,0.17,0.04,4.25
1983-12-30,0.17,0.04,4.25
1984-01-03,0.17,0.04,4.25
1984-01-04,0.17,0.04,4.25
1984-01-05,0.17,0.04,4.25
1984-01-06,0.17,0.04,4.25
1984-01-09,0.18,0.04,4.5
1984-01-10,0.18,0.04,4.5
1984-01-11,0.2,0.04,5.0
1984-01-12,0.21,0.04,5.25
1984-01-13,0.2,0.04,5.0
1984-01-16,0.19,0.04,4.75
1984-01-17,0.19,0.04,4.75
1984-01-18,0.18,0.04,4.5
1984-01-19,0.19,0.04,4.75
1984-01-20,0.19,0.04,4.75
1984-01-23,0.18,0.04,4.5
1984-01-24,0.18,0.04,4.5
1984-01-25,0.18,0.04,4.5
1984-01-26,0.18,0.04,4.5
1984-01-27,0.18,0.04,4.5
1984-01-30,0.19,0.04,4.75
1984-01-31,0.18,0.04,4.5
1984-02-01,0.18,0.04,4.5
1984-02-02,0.19,0.04,4.75
1984-02-03,0.19,0.04,4.75
1984-02-06,0.19,0.04,4.75
1984-02-07,0.19,0.04,4.75
1984-02-08,0.18,0.04,4.5
1984-02-09,0.18,0.04,4.5
1984-02-10,0.19,0.04,4.75
1984-02-13,0.18,0.04,4.5
1984-02-14,0.19,0.04,4.75
1984-02-15,0.19,0.04,4.75
1984-02-16,0.19,0.04,4.75
1984-02-17,0.19,0.04,4.75
1984-02-21,0.18,0.04,4.5
1984-02-22,0.19,0.04,4.75
1984-02-23,0.18,0.04,4.5
1984-02-24,0.19,0.04,4.75
1984-02-27,0.19,0.04,4.75
1984-02-28,0.2,0.04,5.0
1984-02-29,0.2,0.04,5.0
1984-03-01,0.2,0.04,5.0
1984-03-02,0.2,0.04,5.0
1984-03-05,0.19,0.04,4.75
1984-03-06,0.2,0.04,5.0
1984-03-07,0.19,0.04,4.75
1984-03-08,0.18,0.04,4.5
1984-03-09,0.18,0.04,4.5
1984-03-12,0.18,0.04,4.5
1984-03-13,0.18,0.04,4.5
1984-03-14,0.18,0.04,4.5
1984-03-15,0.18,0.04,4.5
1984-03-16,0.18,0.04,4.5
1984-03-19,0.18,0.04,4.5
1984-03-20,0.17,0.04,4.25
1984-03-21,0.17,0.04,4.25
1984-03-22,0.17,0.04,4.25
1984-03-23,0.17,0.04,4.25
1984-03-26,0.18,0.04,4.5
1984-03-27,0.18,0.04,4.5
1984-03-28,0.18,0.04,4.5
1984-03-29,0.18,0.04,4.5
1984-03-30,0.18,0.04,4.5
1984-04-02,0.19,0.04,4.75
1984-04-03,0.19,0.04,4.75
1984-04-04,0.19,0.04,4.75
1984-04-05,0.19,0.04,4.75
1984-04-06,0.19,0.04,4.75
1984-04-09,0.18,0.04,4.5
1984-04-10,0.19,0.04,4.75
1984-04-11,0.18,0.04,4.5
1984-04-12,0.19,0.04,4.75
1984-04-13,0.19,0.04,4.75
1984-04-16,0.19,0.04,4.75
1984-04-17,0.18,0.04,4.5
1984-04-18,0.19,0.04,4.75
1984-04-19,0.19,0.04,4.75
1984-04-23,0.18,0.04,4.5
1984-04-24,0.19,0.04,4.75
1984-04-25,0.19,0.04,4.75
1984-04-26,0.18,0.04,4.5
1984-04-27,0.18,0.04,4.5
1984-04-30,0.19,0.04,4.75
1984-05-01,0.19,0.04,4.75
1984-05-02,0.18,0.04,4.5
1984-05-03,0.19,0.04,4.75
1984-05-04,0.2,0.04,5.0
1984-05-07,0.21,0.04,5.25
1984-05-08,0.2,0.04,5.0
1984-05-09,0.2,0.04,5.0
1984-05-10,0.2,0.04,5.0
1984-05-11,0.2,0.04,5.0
1984-05-14,0.2,0.04,5.0
1984-05-15,0.2,0.04,5.0
1984-05-16,0.2,0.04,5.0
1984-05-17,0.19,0.04,4.75
1984-05-18,0.2,0.04,5.0
1984-05-21,0.2,0.04,5.0
1984-05-22,0.19,0.04,4.75
1984-05-23,0.19,0.04,4.75
1984-05-24,0.18,0.04,4.5
1984-05-25,0.19,0.04,4.75
1984-05-29,0.18,0.04,4.5
1984-05-30,0.19,0.04,4.75
1984-05-31,0.19,0.04,4.75
1984-06-01,0.19,0.04,4.75
1984-06-04,0.19,0.04,4.75
1984-06-05,0.19,0.04,4.75
1984-06-06,0.19,0.04,4.75
1984-06-07,0.19,0.04,4.75
1984-06-08,0.19,0.04,4.75
1984-06-11,0.19,0.04,4.75
1984-06-12,0.19,0.04,4.75
1984-06-13,0.18,0.04,4.5
1984-06-14,0.18,0.04,4.5
1984-06-15,0.18,0.04,4.5
1984-06-18,0.19,0.04,4.75
1984-06-19,0.19,0.04,4.75
1984-06-20,0.18,0.04,4.5
1984-06-21,0.18,0.04,4.5
1984-06-22,0.18,0.04,4.5
1984-06-25,0.18,0.04,4.5
1984-06-26,0.18,0.04,4.5
1984-06-27,0.18,0.04,4.5
1984-06-28,0.18,0.04,4.5
1984-06-29,0.18,0.04,4.5
1984-07-02,0.18,0.04,4.5
1984-07-03,0.18,0.04,4.5
1984-07-05,0.18,0.04,4.5
1984-07-06,0.18,0.04,4.5
1984-07-09,0.18,0.04,4.5
1984-07-10,0.18,0.04,4.5
1984-07-11,0.17,0.04,4.25
1984-07-12,0.18,0.04,4.5
1984-07-13,0.17,0.04,4.25
1984-07-16,0.18,0.04,4.5
1984-07-17,0.18,0.04,4.5
1984-07-18,0.17,0.04,4.25
1984-07-19,0.17,0.04,4.25
1984-07-20,0.16,0.04,4.0
1984-07-23,0.16,0.04,4.0
1984-07-24,0.15,0.04,3.75
1984-07-25,0.14,0.04,3.5000000000000004
1984-07-26,0.14,0.04,3.5000000000000004
1984-07-27,0.15,0.04,3.75
1984-07-30,0.15,0.04,3.75
1984-07-31,0.15,0.04,3.75
1984-08-01,0.15,0.04,3.75
1984-08-02,0.15,0.04,3.75
1984-08-03,0.15,0.04,3.75
1984-08-06,0.15,0.04,3.75
1984-08-07,0.15,0.04,3.75
1984-08-08,0.17,0.04,4.25
1984-08-09,0.17,0.04,4.25
1984-08-10,0.18,0.04,4.5
1984-08-13,0.18,0.04,4.5
1984-08-14,0.17,0.04,4.25
1984-08-15,0.18,0.04,4.5
1984-08-16,0.18,0.04,4.5
1984-08-17,0.18,0.04,4.5
1984-08-20,0.17,0.04,4.25
1984-08-21,0.17,0.04,4.25
1984-08-22,0.18,0.04,4.5
1984-08-23,0.18,0.04,4.5
1984-08-24,0.18,0.04,4.5
1984-08-27,0.18,0.04,4.5
1984-08-28,0.18,0.04,4.5
1984-08-29,0.17,0.04,4.25
1984-08-30,0.17,0.04,4.25
1984-08-31,0.17,0.04,4.25
1984-09-04,0.17,0.04,4.25
1984-09-05,0.17,0.04,4.25
1984-09-06,0.15,0.04,3.75
1984-09-07,0.15,0.04,3.75
1984-09-10,0.15,0.04,3.75
1984-09-11,0.15,0.04,3.75
1984-09-12,0.15,0.04,3.75
1984-09-13,0.15,0.04,3.75
1984-09-14,0.16,0.04,4.0
1984-09-17,0.16,0.04,4.0
1984-09-18,0.15,0.04,3.75
1984-09-19,0.15,0.04,3.75
1984-09-20,0.16,0.04,4.0
1984-09-21,0.16,0.04,4.0
1984-09-24,0.16,0.04,4.0
1984-09-25,0.16,0.04,4.0
1984-09-26,0.16,0.04,4.0
1984-09-27,0.16,0.04,4.0
1984-09-28,0.16,0.04,4.0
1984-10-01,0.16,0.04,4.0
1984-10-02,0.15,0.04,3.75
1984-10-03,0.15,0.04,3.75
1984-10-04,0.15,0.04,3.75
1984-10-05,0.16,0.04,4.0
1984-10-08,0.15,0.04,3.75
1984-10-09,0.15,0.04,3.75
1984-10-10,0.16,0.04,4.0
1984-10-11,0.16,0.04,4.0
1984-10-12,0.15,0.04,3.75
1984-10-15,0.16,0.04,4.0
1984-10-16,0.15,0.04,3.75
1984-10-17,0.15,0.04,3.75
1984-10-18,0.15,0.04,3.75
1984-10-19,0.14,0.04,3.5000000000000004
1984-10-22,0.14,0.04,3.5000000000000004
1984-10-23,0.14,0.04,3.5000000000000004
1984-10-24,0.14,0.04,3.5000000000000004
1984-10-25,0.14,0.04,3.5000000000000004
1984-10-26,0.14,0.04,3.5000000000000004
1984-10-29,0.14,0.04,3.5000000000000004
1984-10-30,0.14,0.04,3.5000000000000004
1984-10-31,0.14,0.04,3.5000000000000004
1984-11-01,0.13,0.04,3.25
1984-11-02,0.13,0.04,3.25
1984-11-05,0.13,0.04,3.25
1984-11-06,0.14,0.04,3.5000000000000004
1984-11-07,0.14,0.04,3.5000000000000004
1984-11-08,0.13,0.04,3.25
1984-11-09,0.13,0.04,3.25
1984-11-12,0.13,0.04,3.25
1984-11-13,0.13,0.04,3.25
1984-11-14,0.13,0.04,3.25
1984-11-15,0.13,0.04,3.25
1984-11-16,0.12,0.04,3.0
1984-11-19,0.11,0.04,2.75
1984-11-20,0.11,0.04,2.75
1984-11-21,0.12,0.04,3.0
1984-11-23,0.12,0.04,3.0
1984-11-26,0.12,0.04,3.0
1984-11-27,0.13,0.04,3.25
1984-11-28,0.13,0.04,3.25
1984-11-29,0.13,0.04,3.25
1984-11-30,0.13,0.04,3.25
1984-12-03,0.13,0.04,3.25
1984-12-04,0.13,0.04,3.25
1984-12-05,0.13,0.04,3.25
1984-12-06,0.13,0.04,3.25
1984-12-07,0.13,0.04,3.25
1984-12-10,0.13,0.04,3.25
1984-12-11,0.12,0.04,3.0
1984-12-12,0.12,0.04,3.0
1984-12-13,0.12,0.04,3.0
1984-12-14,0.12,0.04,3.0
1984-12-17,0.11,0.04,2.75
1984-12-18,0.12,0.04,3.0
1984-12-19,0.13,0.04,3.25
1984-12-20,0.13,0.04,3.25
1984-12-21,0.13,0.04,3.25
1984-12-24,0.12,0.04,3.0
1984-12-26,0.12,0.04,3.0
1984-12-27,0.12,0.04,3.0
1984-12-28,0.12,0.04,3.0
1984-12-31,0.13,0.04,3.25
1985-01-02,0.13,0.04,3.25
1985-01-03,0.12,0.04,3.0
1985-01-04,0.12,0.04,3.0
1985-01-07,0.12,0.04,3.0
1985-01-08,0.12,0.04,3.0
1985-01-09,0.13,0.04,3.25
1985-01-10,0.14,0.04,3.5000000000000004
1985-01-11,0.14,0.04,3.5000000000000004
1985-01-14,0.14,0.04,3.5000000000000004
1985-01-15,0.13,0.04,3.25
1985-01-16,0.13,0.04,3.25
1985-01-17,0.13,0.04,3.25
1985-01-18,0.13,0.04,3.25
1985-01-21,0.13,0.04,3.25
1985-01-22,0.13,0.04,3.25
1985-01-23,0.12,0.04,3.0
1985-01-24,0.12,0.04,3.0
1985-01-25,0.12,0.04,3.0
1985-01-28,0.12,0.04,3.0
1985-01-29,0.12,0.04,3.0
1985-01-30,0.12,0.04,3.0
1985-01-31,0.12,0.04,3.0
1985-02-01,0.12,0.04,3.0
1985-02-04,0.12,0.04,3.0
1985-02-05,0.12,0.04,3.0
1985-02-06,0.12,0.04,3.0
1985-02-07,0.12,0.04,3.0
1985-02-08,0.12,0.04,3.0
1985-02-11,0.12,0.04,3.0
1985-02-12,0.12,0.04,3.0
1985-02-13,0.12,0.04,3.0
1985-02-14,0.12,0.04,3.0
1985-02-15,0.12,0.04,3.0
1985-02-19,0.12,0.04,3.0
1985-02-20,0.12,0.04,3.0
1985-02-21,0.12,0.04,3.0
1985-02-22,0.12,0.04,3.0
1985-02-25,0.13,0.04,3.25
1985-02-26,0.12,0.04,3.0
1985-02-27,0.12,0.04,3.0
1985-02-28,0.13,0.04,3.25
1985-03-01,0.13,0.04,3.25
1985-03-04,0.13,0.04,3.25
1985-03-05,0.15,0.04,3.75
1985-03-06,0.14,0.04,3.5000000000000004
1985-03-07,0.15,0.04,3.75
1985-03-08,0.15,0.04,3.75
1985-03-11,0.15,0.04,3.75
1985-03-12,0.15,0.04,3.75
1985-03-13,0.15,0.04,3.75
1985-03-14,0.15,0.04,3.75
1985-03-15,0.15,0.04,3.75
1985-03-18,0.15,0.04,3.75
1985-03-19,0.16,0.04,4.0
1985-03-20,0.16,0.04,4.0
1985-03-21,0.16,0.04,4.0
1985-03-22,0.16,0.04,4.0
1985-03-25,0.16,0.04,4.0
1985-03-26,0.16,0.04,4.0
1985-03-27,0.16,0.04,4.0
1985-03-28,0.16,0.04,4.0
1985-03-29,0.18,0.04,4.5
1985-04-01,0.18,0.04,4.5
1985-04-02,0.2,0.04,5.0
1985-04-03,0.19,0.04,4.75
1985-04-04,0.19,0.04,4.75
1985-04-08,0.19,0.04,4.75
1985-04-09,0.19,0.04,4.75
1985-04-10,0.2,0.04,5.0
1985-04-11,0.19,0.04,4.75
1985-04-12,0.19,0.04,4.75
1985-04-15,0.19,0.04,4.75
1985-04-16,0.19,0.04,4.75
1985-04-17,0.18,0.04,4.5
1985-04-18,0.18,0.04,4.5
1985-04-19,0.19,0.04,4.75
1985-04-22,0.18,0.04,4.5
1985-04-23,0.18,0.04,4.5
1985-04-24,0.18,0.04,4.5
1985-04-25,0.17,0.04,4.25
1985-04-26,0.17,0.04,4.25
1985-04-29,0.17,0.04,4.25
1985-04-30,0.17,0.04,4.25
1985-05-01,0.17,0.04,4.25
1985-05-02,0.17,0.04,4.25
1985-05-03,0.17,0.04,4.25
1985-05-06,0.17,0.04,4.25
1985-05-07,0.16,0.04,4.0
1985-05-08,0.17,0.04,4.25
1985-05-09,0.16,0.04,4.0
1985-05-10,0.16,0.04,4.0
1985-05-13,0.16,0.04,4.0
1985-05-14,0.16,0.04,4.0
1985-05-15,0.17,0.04,4.25
1985-05-16,0.17,0.04,4.25
1985-05-17,0.18,0.04,4.5
1985-05-20,0.18,0.04,4.5
1985-05-21,0.18,0.04,4.5
1985-05-22,0.18,0.04,4.5
1985-05-23,0.19,0.04,4.75
1985-05-24,0.19,0.04,4.75
1985-05-28,0.19,0.04,4.75
1985-05-29,0.18,0.04,4.5
1985-05-30,0.18,0.04,4.5
1985-05-31,0.19,0.04,4.75
1985-06-03,0.19,0.04,4.75
1985-06-04,0.18,0.04,4.5
1985-06-05,0.18,0.04,4.5
1985-06-06,0.18,0.04,4.5
1985-06-07,0.19,0.04,4.75
1985-06-10,0.19,0.04,4.75
1985-06-11,0.2,0.04,5.0
1985-06-12,0.21,0.04,5.25
1985-06-13,0.21,0.04,5.25
1985-06-14,0.21,0.04,5.25
1985-06-17,0.2,0.04,5.0
1985-06-18,0.2,0.04,5.0
1985-06-19,0.21,0.04,5.25
1985-06-20,0.21,0.04,5.25
1985-06-21,0.21,0.04,5.25
1985-06-24,0.21,0.04,5.25
1985-06-25,0.23,0.04,5.75
1985-06-26,0.23,0.04,5.75
1985-06-27,0.23,0.04,5.75
1985-06-28,0.22,0.04,5.5
1985-07-01,0.23,0.04,5.75
1985-07-02,0.23,0.04,5.75
1985-07-03,0.23,0.04,5.75
1985-07-05,0.23,0.04,5.75
1985-07-08,0.23,0.04,5.75
1985-07-09,0.23,0.04,5.75
1985-07-10,0.23,0.04,5.75
1985-07-11,0.24,0.04,6.0
1985-07-12,0.24,0.04,6.0
1985-07-15,0.24,0.04,6.0
1985-07-16,0.25,0.04,6.25
1985-07-17,0.24,0.04,6.0
1985-07-18,0.25,0.04,6.25
1985-07-19,0.25,0.04,6.25
1985-07-22,0.25,0.04,6.25
1985-07-23,0.24,0.04,6.0
1985-07-24,0.24,0.04,6.0
1985-07-25,0.24,0.04,6.0
1985-07-26,0.24,0.04,6.0
1985-07-29,0.23,0.04,5.75
1985-07-30,0.23,0.04,5.75
1985-07-31,0.23,0.04,5.75
1985-08-01,0.23,0.04,5.75
1985-08-02,0.22,0.04,5.5
1985-08-05,0.22,0.04,5.5
1985-08-06,0.22,0.04,5.5
1985-08-07,0.22,0.04,5.5
1985-08-08,0.22,0.04,5.5
1985-08-09,0.22,0.04,5.5
1985-08-12,0.22,0.04,5.5
1985-08-13,0.22,0.04,5.5
1985-08-14,0.22,0.04,5.5
1985-08-15,0.22,0.04,5.5
1985-08-16,0.22,0.04,5.5
1985-08-19,0.22,0.04,5.5
1985-08-20,0.22,0.04,5.5
1985-08-21,0.22,0.04,5.5
1985-08-22,0.22,0.04,5.5
1985-08-23,0.22,0.04,5.5
1985-08-26,0.22,0.04,5.5
1985-08-27,0.22,0.04,5.5
1985-08-28,0.23,0.04,5.75
1985-08-29,0.23,0.04,5.75
1985-08-30,0.25,0.04,6.25
1985-09-03,0.25,0.04,6.25
1985-09-04,0.25,0.04,6.25
1985-09-05,0.25,0.04,6.25
1985-09-06,0.24,0.04,6.0
1985-09-09,0.24,0.04,6.0
1985-09-10,0.24,0.04,6.0
1985-09-11,0.23,0.04,5.75
1985-09-12,0.23,0.04,5.75
1985-09-13,0.22,0.04,5.5
1985-09-16,0.25,0.04,6.25
1985-09-17,0.26,0.04,6.5
1985-09-18,0.27,0.04,6.75
1985-09-19,0.28,0.04,7.000000000000001
1985-09-20,0.28,0.04,7.000000000000001
1985-09-23,0.28,0.04,7.000000000000001
1985-09-24,0.27,0.04,6.75
1985-09-25,0.28,0.04,7.000000000000001
1985-09-26,0.28,0.04,7.000000000000001
1985-09-30,0.28,0.04,7.000000000000001
1985-10-01,0.28,0.04,7.000000000000001
1985-10-02,0.29,0.04,7.249999999999999
1985-10-03,0.29,0.04,7.249999999999999
1985-10-04,0.29,0.04,7.249999999999999
1985-10-07,0.29,0.04,7.249999999999999
1985-10-08,0.29,0.04,7.249999999999999
1985-10-09,0.29,0.04,7.249999999999999
1985-10-10,0.29,0.04,7.249999999999999
1985-10-11,0.28,0.04,7.000000000000001
1985-10-14,0.28,0.04,7.000000000000001
1985-10-15,0.29,0.04,7.249999999999999
1985-10-16,0.28,0.04,7.000000000000001
1985-10-17,0.28,0.04,7.000000000000001
1985-10-18,0.28,0.04,7.000000000000001
1985-10-21,0.28,0.04,7.000000000000001
1985-10-22,0.28,0.04,7.000000000000001
1985-10-23,0.29,0.04,7.249999999999999
1985-10-24,0.29,0.04,7.249999999999999
1985-10-25,0.29,0.04,7.249999999999999
1985-10-28,0.29,0.04,7.249999999999999
1985-10-29,0.29,0.04,7.249999999999999
1985-10-30,0.29,0.04,7.249999999999999
1985-10-31,0.29,0.04,7.249999999999999
1985-11-01,0.29,0.04,7.249999999999999
1985-11-04,0.29,0.04,7.249999999999999
1985-11-05,0.29,0.04,7.249999999999999
1985-11-06,0.29,0.04,7.249999999999999
