date,close price,FMC_SHE,FMC_TA,FMC_TL,market cap,PB Ratio
1981-10-27,1.16,-71000000.0,2819000000.0,2890000000.0,,
1981-10-28,1.17,-71000000.0,2819000000.0,2890000000.0,,
1981-10-29,1.14,-71000000.0,2819000000.0,2890000000.0,,
1981-10-30,1.12,-71000000.0,2819000000.0,2890000000.0,,
1981-11-02,1.12,-71000000.0,2819000000.0,2890000000.0,,
1981-11-03,1.13,-71000000.0,2819000000.0,2890000000.0,,
1981-11-04,1.13,-71000000.0,2819000000.0,2890000000.0,,
1981-11-05,1.14,-71000000.0,2819000000.0,2890000000.0,,
1981-11-06,1.13,-71000000.0,2819000000.0,2890000000.0,,
1981-11-09,1.14,-71000000.0,2819000000.0,2890000000.0,,
1981-11-10,1.13,-71000000.0,2819000000.0,2890000000.0,,
1981-11-11,1.14,-71000000.0,2819000000.0,2890000000.0,,
1981-11-12,1.14,-71000000.0,2819000000.0,2890000000.0,,
1981-11-13,1.15,-71000000.0,2819000000.0,2890000000.0,,
1981-11-16,1.15,-71000000.0,2819000000.0,2890000000.0,,
1981-11-17,1.15,-71000000.0,2819000000.0,2890000000.0,,
1981-11-18,1.17,-71000000.0,2819000000.0,2890000000.0,,
1981-11-19,1.17,-71000000.0,2819000000.0,2890000000.0,,
1981-11-20,1.16,-71000000.0,2819000000.0,2890000000.0,,
1981-11-23,1.17,-71000000.0,2819000000.0,2890000000.0,,
1981-11-24,1.17,-71000000.0,2819000000.0,2890000000.0,,
1981-11-25,1.17,-71000000.0,2819000000.0,2890000000.0,,
1981-11-27,1.16,-71000000.0,2819000000.0,2890000000.0,,
1981-11-30,1.17,-71000000.0,2819000000.0,2890000000.0,,
1981-12-01,1.2,-71000000.0,2819000000.0,2890000000.0,,
1981-12-02,1.18,-71000000.0,2819000000.0,2890000000.0,,
1981-12-03,1.2,-71000000.0,2819000000.0,2890000000.0,,
1981-12-04,1.2,-71000000.0,2819000000.0,2890000000.0,,
1981-12-07,1.17,-71000000.0,2819000000.0,2890000000.0,,
1981-12-08,1.19,-71000000.0,2819000000.0,2890000000.0,,
1981-12-09,1.17,-71000000.0,2819000000.0,2890000000.0,,
1981-12-10,1.18,-71000000.0,2819000000.0,2890000000.0,,
1981-12-11,1.2,-71000000.0,2819000000.0,2890000000.0,,
1981-12-14,1.17,-71000000.0,2819000000.0,2890000000.0,,
1981-12-15,1.19,-71000000.0,2819000000.0,2890000000.0,,
1981-12-16,1.17,-71000000.0,2819000000.0,2890000000.0,,
1981-12-17,1.17,-71000000.0,2819000000.0,2890000000.0,,
1981-12-18,1.15,-71000000.0,2819000000.0,2890000000.0,,
1981-12-21,1.17,-71000000.0,2819000000.0,2890000000.0,,
1981-12-22,1.12,-71000000.0,2819000000.0,2890000000.0,,
1981-12-23,1.12,-71000000.0,2819000000.0,2890000000.0,,
1981-12-24,1.14,-71000000.0,2819000000.0,2890000000.0,,
1981-12-28,1.13,-71000000.0,2819000000.0,2890000000.0,,
1981-12-29,1.12,-71000000.0,2819000000.0,2890000000.0,,
1981-12-30,1.11,-71000000.0,2819000000.0,2890000000.0,,
1981-12-31,1.11,-71000000.0,2819000000.0,2890000000.0,,
1982-01-04,1.12,-71000000.0,2819000000.0,2890000000.0,,
1982-01-05,1.12,-71000000.0,2819000000.0,2890000000.0,,
1982-01-06,1.11,-71000000.0,2819000000.0,2890000000.0,,
1982-01-07,1.07,-71000000.0,2819000000.0,2890000000.0,,
1982-01-08,1.08,-71000000.0,2819000000.0,2890000000.0,,
1982-01-11,1.07,-71000000.0,2819000000.0,2890000000.0,,
1982-01-12,1.05,-71000000.0,2819000000.0,2890000000.0,,
1982-01-13,1.0,-71000000.0,2819000000.0,2890000000.0,,
1982-01-14,1.01,-71000000.0,2819000000.0,2890000000.0,,
1982-01-15,1.02,-71000000.0,2819000000.0,2890000000.0,,
1982-01-18,1.02,-71000000.0,2819000000.0,2890000000.0,,
1982-01-19,1.02,-71000000.0,2819000000.0,2890000000.0,,
1982-01-20,1.02,-71000000.0,2819000000.0,2890000000.0,,
1982-01-21,1.05,-71000000.0,2819000000.0,2890000000.0,,
1982-01-22,1.04,-71000000.0,2819000000.0,2890000000.0,,
1982-01-25,1.05,-71000000.0,2819000000.0,2890000000.0,,
1982-01-26,1.05,-71000000.0,2819000000.0,2890000000.0,,
1982-01-27,1.05,-71000000.0,2819000000.0,2890000000.0,,
1982-01-28,1.06,-71000000.0,2819000000.0,2890000000.0,,
1982-01-29,1.09,-71000000.0,2819000000.0,2890000000.0,,
1982-02-01,1.08,-71000000.0,2819000000.0,2890000000.0,,
1982-02-02,1.07,-71000000.0,2819000000.0,2890000000.0,,
1982-02-03,1.07,-71000000.0,2819000000.0,2890000000.0,,
1982-02-04,1.08,-71000000.0,2819000000.0,2890000000.0,,
1982-02-05,1.09,-71000000.0,2819000000.0,2890000000.0,,
1982-02-08,1.06,-71000000.0,2819000000.0,2890000000.0,,
1982-02-09,1.04,-71000000.0,2819000000.0,2890000000.0,,
1982-02-10,1.06,-71000000.0,2819000000.0,2890000000.0,,
1982-02-11,1.06,-71000000.0,2819000000.0,2890000000.0,,
1982-02-12,1.04,-71000000.0,2819000000.0,2890000000.0,,
1982-02-16,1.04,-71000000.0,2819000000.0,2890000000.0,,
1982-02-17,1.04,-71000000.0,2819000000.0,2890000000.0,,
1982-02-18,1.03,-71000000.0,2819000000.0,2890000000.0,,
1982-02-19,1.02,-71000000.0,2819000000.0,2890000000.0,,
1982-02-22,1.02,-71000000.0,2819000000.0,2890000000.0,,
1982-02-23,1.05,-71000000.0,2819000000.0,2890000000.0,,
1982-02-24,1.04,-71000000.0,2819000000.0,2890000000.0,,
1982-02-25,1.11,-71000000.0,2819000000.0,2890000000.0,,
1982-02-26,1.09,-71000000.0,2819000000.0,2890000000.0,,
1982-03-01,1.09,-71000000.0,2819000000.0,2890000000.0,,
1982-03-02,1.12,-71000000.0,2819000000.0,2890000000.0,,
1982-03-03,1.09,-71000000.0,2819000000.0,2890000000.0,,
1982-03-04,1.09,-71000000.0,2819000000.0,2890000000.0,,
1982-03-05,1.08,-71000000.0,2819000000.0,2890000000.0,,
1982-03-08,1.08,-71000000.0,2819000000.0,2890000000.0,,
1982-03-09,1.08,-71000000.0,2819000000.0,2890000000.0,,
1982-03-10,1.08,-71000000.0,2819000000.0,2890000000.0,,
1982-03-11,1.07,-71000000.0,2819000000.0,2890000000.0,,
1982-03-12,1.08,-71000000.0,2819000000.0,2890000000.0,,
1982-03-15,1.08,-71000000.0,2819000000.0,2890000000.0,,
1982-03-16,1.1,-71000000.0,2819000000.0,2890000000.0,,
1982-03-17,1.11,-71000000.0,2819000000.0,2890000000.0,,
1982-03-18,1.12,-71000000.0,2819000000.0,2890000000.0,,
1982-03-19,1.14,-71000000.0,2819000000.0,2890000000.0,,
1982-03-22,1.17,-71000000.0,2819000000.0,2890000000.0,,
1982-03-23,1.17,-71000000.0,2819000000.0,2890000000.0,,
1982-03-24,1.17,-71000000.0,2819000000.0,2890000000.0,,
1982-03-25,1.18,-71000000.0,2819000000.0,2890000000.0,,
1982-03-26,1.17,-71000000.0,2819000000.0,2890000000.0,,
1982-03-29,1.17,-71000000.0,2819000000.0,2890000000.0,,
1982-03-30,1.17,-71000000.0,2819000000.0,2890000000.0,,
1982-03-31,1.17,-71000000.0,2819000000.0,2890000000.0,,
1982-04-01,1.15,-71000000.0,2819000000.0,2890000000.0,,
1982-04-02,1.13,-71000000.0,2819000000.0,2890000000.0,,
1982-04-05,1.11,-71000000.0,2819000000.0,2890000000.0,,
1982-04-06,1.11,-71000000.0,2819000000.0,2890000000.0,,
1982-04-07,1.12,-71000000.0,2819000000.0,2890000000.0,,
1982-04-08,1.14,-71000000.0,2819000000.0,2890000000.0,,
1982-04-12,1.14,-71000000.0,2819000000.0,2890000000.0,,
1982-04-13,1.2,-71000000.0,2819000000.0,2890000000.0,,
1982-04-14,1.18,-71000000.0,2819000000.0,2890000000.0,,
1982-04-15,1.19,-71000000.0,2819000000.0,2890000000.0,,
1982-04-16,1.18,-71000000.0,2819000000.0,2890000000.0,,
1982-04-19,1.17,-71000000.0,2819000000.0,2890000000.0,,
1982-04-20,1.15,-71000000.0,2819000000.0,2890000000.0,,
1982-04-21,1.14,-71000000.0,2819000000.0,2890000000.0,,
1982-04-22,1.15,-71000000.0,2819000000.0,2890000000.0,,
1982-04-23,1.14,-71000000.0,2819000000.0,2890000000.0,,
1982-04-26,1.16,-71000000.0,2819000000.0,2890000000.0,,
1982-04-27,1.17,-71000000.0,2819000000.0,2890000000.0,,
1982-04-28,1.18,-71000000.0,2819000000.0,2890000000.0,,
1982-04-29,1.17,-71000000.0,2819000000.0,2890000000.0,,
1982-04-30,1.18,-71000000.0,2819000000.0,2890000000.0,,
1982-05-03,1.17,-71000000.0,2819000000.0,2890000000.0,,
1982-05-04,1.16,-71000000.0,2819000000.0,2890000000.0,,
1982-05-05,1.16,-71000000.0,2819000000.0,2890000000.0,,
1982-05-06,1.19,-71000000.0,2819000000.0,2890000000.0,,
1982-05-07,1.19,-71000000.0,2819000000.0,2890000000.0,,
1982-05-10,1.17,-71000000.0,2819000000.0,2890000000.0,,
1982-05-11,1.21,-71000000.0,2819000000.0,2890000000.0,,
1982-05-12,1.19,-71000000.0,2819000000.0,2890000000.0,,
1982-05-13,1.15,-71000000.0,2819000000.0,2890000000.0,,
1982-05-14,1.14,-71000000.0,2819000000.0,2890000000.0,,
1982-05-17,1.13,-71000000.0,2819000000.0,2890000000.0,,
1982-05-18,1.13,-71000000.0,2819000000.0,2890000000.0,,
1982-05-19,1.14,-71000000.0,2819000000.0,2890000000.0,,
1982-05-20,1.13,-71000000.0,2819000000.0,2890000000.0,,
1982-05-21,1.15,-71000000.0,2819000000.0,2890000000.0,,
1982-05-24,1.15,-71000000.0,2819000000.0,2890000000.0,,
1982-05-25,1.14,-71000000.0,2819000000.0,2890000000.0,,
1982-05-26,1.12,-71000000.0,2819000000.0,2890000000.0,,
1982-05-27,1.12,-71000000.0,2819000000.0,2890000000.0,,
1982-05-28,1.1,-71000000.0,2819000000.0,2890000000.0,,
1982-06-01,1.09,-71000000.0,2819000000.0,2890000000.0,,
1982-06-02,1.09,-71000000.0,2819000000.0,2890000000.0,,
1982-06-03,1.07,-71000000.0,2819000000.0,2890000000.0,,
1982-06-04,1.04,-71000000.0,2819000000.0,2890000000.0,,
1982-06-07,1.04,-71000000.0,2819000000.0,2890000000.0,,
1982-06-08,1.03,-71000000.0,2819000000.0,2890000000.0,,
1982-06-09,1.03,-71000000.0,2819000000.0,2890000000.0,,
1982-06-10,1.04,-71000000.0,2819000000.0,2890000000.0,,
1982-06-11,1.05,-71000000.0,2819000000.0,2890000000.0,,
1982-06-14,1.05,-71000000.0,2819000000.0,2890000000.0,,
1982-06-15,1.08,-71000000.0,2819000000.0,2890000000.0,,
1982-06-16,1.1,-71000000.0,2819000000.0,2890000000.0,,
1982-06-17,1.11,-71000000.0,2819000000.0,2890000000.0,,
1982-06-18,1.07,-71000000.0,2819000000.0,2890000000.0,,
1982-06-21,1.07,-71000000.0,2819000000.0,2890000000.0,,
1982-06-22,1.05,-71000000.0,2819000000.0,2890000000.0,,
1982-06-23,1.06,-71000000.0,2819000000.0,2890000000.0,,
1982-06-24,1.07,-71000000.0,2819000000.0,2890000000.0,,
1982-06-25,1.06,-71000000.0,2819000000.0,2890000000.0,,
1982-06-28,1.07,-71000000.0,2819000000.0,2890000000.0,,
1982-06-29,1.08,-71000000.0,2819000000.0,2890000000.0,,
1982-06-30,1.08,-71000000.0,2819000000.0,2890000000.0,,
1982-07-01,1.07,-71000000.0,2819000000.0,2890000000.0,,
1982-07-02,1.07,-71000000.0,2819000000.0,2890000000.0,,
1982-07-06,1.08,-71000000.0,2819000000.0,2890000000.0,,
1982-07-07,1.07,-71000000.0,2819000000.0,2890000000.0,,
1982-07-08,1.09,-71000000.0,2819000000.0,2890000000.0,,
1982-07-09,1.12,-71000000.0,2819000000.0,2890000000.0,,
1982-07-12,1.13,-71000000.0,2819000000.0,2890000000.0,,
1982-07-13,1.15,-71000000.0,2819000000.0,2890000000.0,,
1982-07-14,1.15,-71000000.0,2819000000.0,2890000000.0,,
1982-07-15,1.17,-71000000.0,2819000000.0,2890000000.0,,
1982-07-16,1.15,-71000000.0,2819000000.0,2890000000.0,,
1982-07-19,1.15,-71000000.0,2819000000.0,2890000000.0,,
1982-07-20,1.11,-71000000.0,2819000000.0,2890000000.0,,
1982-07-21,1.15,-71000000.0,2819000000.0,2890000000.0,,
1982-07-22,1.15,-71000000.0,2819000000.0,2890000000.0,,
1982-07-23,1.15,-71000000.0,2819000000.0,2890000000.0,,
1982-07-26,1.15,-71000000.0,2819000000.0,2890000000.0,,
1982-07-27,1.14,-71000000.0,2819000000.0,2890000000.0,,
1982-07-28,1.13,-71000000.0,2819000000.0,2890000000.0,,
1982-07-29,1.09,-71000000.0,2819000000.0,2890000000.0,,
1982-07-30,1.1,-71000000.0,2819000000.0,2890000000.0,,
1982-08-02,1.12,-71000000.0,2819000000.0,2890000000.0,,
1982-08-03,1.12,-71000000.0,2819000000.0,2890000000.0,,
1982-08-04,1.13,-71000000.0,2819000000.0,2890000000.0,,
1982-08-05,1.06,-71000000.0,2819000000.0,2890000000.0,,
1982-08-06,1.06,-71000000.0,2819000000.0,2890000000.0,,
1982-08-09,1.05,-71000000.0,2819000000.0,2890000000.0,,
1982-08-10,1.07,-71000000.0,2819000000.0,2890000000.0,,
1982-08-11,1.06,-71000000.0,2819000000.0,2890000000.0,,
1982-08-12,1.07,-71000000.0,2819000000.0,2890000000.0,,
1982-08-13,1.08,-71000000.0,2819000000.0,2890000000.0,,
1982-08-16,1.08,-71000000.0,2819000000.0,2890000000.0,,
1982-08-17,1.13,-71000000.0,2819000000.0,2890000000.0,,
1982-08-18,1.16,-71000000.0,2819000000.0,2890000000.0,,
1982-08-19,1.17,-71000000.0,2819000000.0,2890000000.0,,
1982-08-20,1.19,-71000000.0,2819000000.0,2890000000.0,,
1982-08-23,1.21,-71000000.0,2819000000.0,2890000000.0,,
1982-08-24,1.17,-71000000.0,2819000000.0,2890000000.0,,
1982-08-25,1.2,-71000000.0,2819000000.0,2890000000.0,,
1982-08-26,1.2,-71000000.0,2819000000.0,2890000000.0,,
1982-08-27,1.2,-71000000.0,2819000000.0,2890000000.0,,
1982-08-30,1.21,-71000000.0,2819000000.0,2890000000.0,,
1982-08-31,1.24,-71000000.0,2819000000.0,2890000000.0,,
1982-09-01,1.26,-71000000.0,2819000000.0,2890000000.0,,
1982-09-02,1.25,-71000000.0,2819000000.0,2890000000.0,,
1982-09-03,1.27,-71000000.0,2819000000.0,2890000000.0,,
1982-09-07,1.28,-71000000.0,2819000000.0,2890000000.0,,
1982-09-08,1.3,-71000000.0,2819000000.0,2890000000.0,,
1982-09-09,1.31,-71000000.0,2819000000.0,2890000000.0,,
1982-09-10,1.3,-71000000.0,2819000000.0,2890000000.0,,
1982-09-13,1.3,-71000000.0,2819000000.0,2890000000.0,,
1982-09-14,1.31,-71000000.0,2819000000.0,2890000000.0,,
1982-09-15,1.37,-71000000.0,2819000000.0,2890000000.0,,
1982-09-16,1.39,-71000000.0,2819000000.0,2890000000.0,,
1982-09-17,1.36,-71000000.0,2819000000.0,2890000000.0,,
1982-09-20,1.35,-71000000.0,2819000000.0,2890000000.0,,
1982-09-21,1.37,-71000000.0,2819000000.0,2890000000.0,,
1982-09-22,1.37,-71000000.0,2819000000.0,2890000000.0,,
1982-09-23,1.38,-71000000.0,2819000000.0,2890000000.0,,
1982-09-24,1.36,-71000000.0,2819000000.0,2890000000.0,,
1982-09-27,1.36,-71000000.0,2819000000.0,2890000000.0,,
1982-09-28,1.37,-71000000.0,2819000000.0,2890000000.0,,
1982-09-29,1.34,-71000000.0,2819000000.0,2890000000.0,,
1982-09-30,1.34,-71000000.0,2819000000.0,2890000000.0,,
1982-10-01,1.35,-71000000.0,2819000000.0,2890000000.0,,
1982-10-04,1.36,-71000000.0,2819000000.0,2890000000.0,,
1982-10-05,1.36,-71000000.0,2819000000.0,2890000000.0,,
1982-10-06,1.38,-71000000.0,2819000000.0,2890000000.0,,
1982-10-07,1.39,-71000000.0,2819000000.0,2890000000.0,,
1982-10-08,1.41,-71000000.0,2819000000.0,2890000000.0,,
1982-10-11,1.45,-71000000.0,2819000000.0,2890000000.0,,
1982-10-12,1.45,-71000000.0,2819000000.0,2890000000.0,,
1982-10-13,1.49,-71000000.0,2819000000.0,2890000000.0,,
1982-10-14,1.49,-71000000.0,2819000000.0,2890000000.0,,
1982-10-15,1.47,-71000000.0,2819000000.0,2890000000.0,,
1982-10-18,1.46,-71000000.0,2819000000.0,2890000000.0,,
1982-10-19,1.41,-71000000.0,2819000000.0,2890000000.0,,
1982-10-20,1.45,-71000000.0,2819000000.0,2890000000.0,,
1982-10-21,1.44,-71000000.0,2819000000.0,2890000000.0,,
1982-10-22,1.41,-71000000.0,2819000000.0,2890000000.0,,
1982-10-25,1.36,-71000000.0,2819000000.0,2890000000.0,,
1982-10-26,1.36,-71000000.0,2819000000.0,2890000000.0,,
1982-10-27,1.37,-71000000.0,2819000000.0,2890000000.0,,
1982-10-28,1.37,-71000000.0,2819000000.0,2890000000.0,,
1982-10-29,1.38,-71000000.0,2819000000.0,2890000000.0,,
1982-11-01,1.38,-71000000.0,2819000000.0,2890000000.0,,
1982-11-02,1.36,-71000000.0,2819000000.0,2890000000.0,,
1982-11-03,1.38,-71000000.0,2819000000.0,2890000000.0,,
1982-11-04,1.39,-71000000.0,2819000000.0,2890000000.0,,
1982-11-05,1.4,-71000000.0,2819000000.0,2890000000.0,,
1982-11-08,1.36,-71000000.0,2819000000.0,2890000000.0,,
1982-11-09,1.33,-71000000.0,2819000000.0,2890000000.0,,
1982-11-10,1.33,-71000000.0,2819000000.0,2890000000.0,,
1982-11-11,1.34,-71000000.0,2819000000.0,2890000000.0,,
1982-11-12,1.32,-71000000.0,2819000000.0,2890000000.0,,
1982-11-15,1.34,-71000000.0,2819000000.0,2890000000.0,,
1982-11-16,1.35,-71000000.0,2819000000.0,2890000000.0,,
1982-11-17,1.36,-71000000.0,2819000000.0,2890000000.0,,
1982-11-18,1.34,-71000000.0,2819000000.0,2890000000.0,,
1982-11-19,1.34,-71000000.0,2819000000.0,2890000000.0,,
1982-11-22,1.34,-71000000.0,2819000000.0,2890000000.0,,
1982-11-23,1.3,-71000000.0,2819000000.0,2890000000.0,,
1982-11-24,1.28,-71000000.0,2819000000.0,2890000000.0,,
1982-11-26,1.28,-71000000.0,2819000000.0,2890000000.0,,
1982-11-29,1.27,-71000000.0,2819000000.0,2890000000.0,,
1982-11-30,1.28,-71000000.0,2819000000.0,2890000000.0,,
1982-12-01,1.3,-71000000.0,2819000000.0,2890000000.0,,
1982-12-02,1.37,-71000000.0,2819000000.0,2890000000.0,,
1982-12-03,1.39,-71000000.0,2819000000.0,2890000000.0,,
1982-12-06,1.44,-71000000.0,2819000000.0,2890000000.0,,
1982-12-07,1.4,-71000000.0,2819000000.0,2890000000.0,,
1982-12-08,1.39,-71000000.0,2819000000.0,2890000000.0,,
1982-12-09,1.36,-71000000.0,2819000000.0,2890000000.0,,
1982-12-10,1.37,-71000000.0,2819000000.0,2890000000.0,,
1982-12-13,1.37,-71000000.0,2819000000.0,2890000000.0,,
1982-12-14,1.36,-71000000.0,2819000000.0,2890000000.0,,
1982-12-15,1.32,-71000000.0,2819000000.0,2890000000.0,,
1982-12-16,1.43,-71000000.0,2819000000.0,2890000000.0,,
1982-12-17,1.42,-71000000.0,2819000000.0,2890000000.0,,
1982-12-20,1.41,-71000000.0,2819000000.0,2890000000.0,,
1982-12-21,1.41,-71000000.0,2819000000.0,2890000000.0,,
1982-12-22,1.42,-71000000.0,2819000000.0,2890000000.0,,
1982-12-23,1.42,-71000000.0,2819000000.0,2890000000.0,,
1982-12-27,1.41,-71000000.0,2819000000.0,2890000000.0,,
1982-12-28,1.38,-71000000.0,2819000000.0,2890000000.0,,
1982-12-29,1.36,-71000000.0,2819000000.0,2890000000.0,,
1982-12-30,1.36,-71000000.0,2819000000.0,2890000000.0,,
1982-12-31,1.4,-71000000.0,2819000000.0,2890000000.0,,
1983-01-03,1.38,-71000000.0,2819000000.0,2890000000.0,,
1983-01-04,1.4,-71000000.0,2819000000.0,2890000000.0,,
1983-01-05,1.41,-71000000.0,2819000000.0,2890000000.0,,
1983-01-06,1.46,-71000000.0,2819000000.0,2890000000.0,,
1983-01-07,1.45,-71000000.0,2819000000.0,2890000000.0,,
1983-01-10,1.47,-71000000.0,2819000000.0,2890000000.0,,
1983-01-11,1.47,-71000000.0,2819000000.0,2890000000.0,,
1983-01-12,1.49,-71000000.0,2819000000.0,2890000000.0,,
1983-01-13,1.48,-71000000.0,2819000000.0,2890000000.0,,
1983-01-14,1.51,-71000000.0,2819000000.0,2890000000.0,,
1983-01-17,1.56,-71000000.0,2819000000.0,2890000000.0,,
1983-01-18,1.59,-71000000.0,2819000000.0,2890000000.0,,
1983-01-19,1.57,-71000000.0,2819000000.0,2890000000.0,,
1983-01-20,1.58,-71000000.0,2819000000.0,2890000000.0,,
1983-01-21,1.52,-71000000.0,2819000000.0,2890000000.0,,
1983-01-24,1.5,-71000000.0,2819000000.0,2890000000.0,,
1983-01-25,1.52,-71000000.0,2819000000.0,2890000000.0,,
1983-01-26,1.51,-71000000.0,2819000000.0,2890000000.0,,
1983-01-27,1.55,-71000000.0,2819000000.0,2890000000.0,,
1983-01-28,1.55,-71000000.0,2819000000.0,2890000000.0,,
1983-01-31,1.54,-71000000.0,2819000000.0,2890000000.0,,
1983-02-01,1.52,-71000000.0,2819000000.0,2890000000.0,,
1983-02-02,1.53,-71000000.0,2819000000.0,2890000000.0,,
1983-02-03,1.52,-71000000.0,2819000000.0,2890000000.0,,
1983-02-04,1.56,-71000000.0,2819000000.0,2890000000.0,,
1983-02-07,1.62,-71000000.0,2819000000.0,2890000000.0,,
1983-02-08,1.61,-71000000.0,2819000000.0,2890000000.0,,
1983-02-09,1.51,-71000000.0,2819000000.0,2890000000.0,,
1983-02-10,1.56,-71000000.0,2819000000.0,2890000000.0,,
1983-02-11,1.57,-71000000.0,2819000000.0,2890000000.0,,
1983-02-14,1.58,-71000000.0,2819000000.0,2890000000.0,,
1983-02-15,1.53,-71000000.0,2819000000.0,2890000000.0,,
1983-02-16,1.54,-71000000.0,2819000000.0,2890000000.0,,
1983-02-17,1.53,-71000000.0,2819000000.0,2890000000.0,,
1983-02-18,1.56,-71000000.0,2819000000.0,2890000000.0,,
1983-02-22,1.54,-71000000.0,2819000000.0,2890000000.0,,
1983-02-23,1.56,-71000000.0,2819000000.0,2890000000.0,,
1983-02-24,1.58,-71000000.0,2819000000.0,2890000000.0,,
1983-02-25,1.55,-71000000.0,2819000000.0,2890000000.0,,
1983-02-28,1.54,-71000000.0,2819000000.0,2890000000.0,,
1983-03-01,1.6,-71000000.0,2819000000.0,2890000000.0,,
1983-03-02,1.59,-71000000.0,2819000000.0,2890000000.0,,
1983-03-03,1.6,-71000000.0,2819000000.0,2890000000.0,,
1983-03-04,1.64,-71000000.0,2819000000.0,2890000000.0,,
1983-03-07,1.64,-71000000.0,2819000000.0,2890000000.0,,
1983-03-08,1.58,-71000000.0,2819000000.0,2890000000.0,,
1983-03-09,1.63,-71000000.0,2819000000.0,2890000000.0,,
1983-03-10,1.58,-71000000.0,2819000000.0,2890000000.0,,
1983-03-11,1.59,-71000000.0,2819000000.0,2890000000.0,,
1983-03-14,1.57,-71000000.0,2819000000.0,2890000000.0,,
1983-03-15,1.58,-71000000.0,2819000000.0,2890000000.0,,
1983-03-16,1.56,-71000000.0,2819000000.0,2890000000.0,,
1983-03-17,1.52,-71000000.0,2819000000.0,2890000000.0,,
1983-03-18,1.56,-71000000.0,2819000000.0,2890000000.0,,
1983-03-21,1.54,-71000000.0,2819000000.0,2890000000.0,,
1983-03-22,1.53,-71000000.0,2819000000.0,2890000000.0,,
1983-03-23,1.54,-71000000.0,2819000000.0,2890000000.0,,
1983-03-24,1.59,-71000000.0,2819000000.0,2890000000.0,,
1983-03-25,1.58,-71000000.0,2819000000.0,2890000000.0,,
1983-03-28,1.59,-71000000.0,2819000000.0,2890000000.0,,
1983-03-29,1.6,-71000000.0,2819000000.0,2890000000.0,,
1983-03-30,1.62,-71000000.0,2819000000.0,2890000000.0,,
1983-03-31,1.63,-71000000.0,2819000000.0,2890000000.0,,
1983-04-04,1.57,-71000000.0,2819000000.0,2890000000.0,,
1983-04-05,1.59,-71000000.0,2819000000.0,2890000000.0,,
1983-04-06,1.58,-71000000.0,2819000000.0,2890000000.0,,
1983-04-07,1.56,-71000000.0,2819000000.0,2890000000.0,,
1983-04-08,1.55,-71000000.0,2819000000.0,2890000000.0,,
1983-04-11,1.54,-71000000.0,2819000000.0,2890000000.0,,
1983-04-12,1.52,-71000000.0,2819000000.0,2890000000.0,,
1983-04-13,1.56,-71000000.0,2819000000.0,2890000000.0,,
1983-04-14,1.56,-71000000.0,2819000000.0,2890000000.0,,
1983-04-15,1.58,-71000000.0,2819000000.0,2890000000.0,,
1983-04-18,1.56,-71000000.0,2819000000.0,2890000000.0,,
1983-04-19,1.53,-71000000.0,2819000000.0,2890000000.0,,
1983-04-20,1.57,-71000000.0,2819000000.0,2890000000.0,,
1983-04-21,1.54,-71000000.0,2819000000.0,2890000000.0,,
1983-04-22,1.57,-71000000.0,2819000000.0,2890000000.0,,
1983-04-25,1.56,-71000000.0,2819000000.0,2890000000.0,,
1983-04-26,1.6,-71000000.0,2819000000.0,2890000000.0,,
1983-04-27,1.58,-71000000.0,2819000000.0,2890000000.0,,
1983-04-28,1.57,-71000000.0,2819000000.0,2890000000.0,,
1983-04-29,1.6,-71000000.0,2819000000.0,2890000000.0,,
1983-05-02,1.58,-71000000.0,2819000000.0,2890000000.0,,
1983-05-03,1.63,-71000000.0,2819000000.0,2890000000.0,,
1983-05-04,1.63,-71000000.0,2819000000.0,2890000000.0,,
1983-05-05,1.66,-71000000.0,2819000000.0,2890000000.0,,
1983-05-06,1.7,-71000000.0,2819000000.0,2890000000.0,,
1983-05-09,1.73,-71000000.0,2819000000.0,2890000000.0,,
1983-05-10,1.76,-71000000.0,2819000000.0,2890000000.0,,
1983-05-11,1.75,-71000000.0,2819000000.0,2890000000.0,,
1983-05-12,1.77,-71000000.0,2819000000.0,2890000000.0,,
1983-05-13,1.82,-71000000.0,2819000000.0,2890000000.0,,
1983-05-16,1.83,-71000000.0,2819000000.0,2890000000.0,,
1983-05-17,1.84,-71000000.0,2819000000.0,2890000000.0,,
1983-05-18,1.85,-71000000.0,2819000000.0,2890000000.0,,
